etf.com_names,Ticker_names,investing_names,details
"Molina Healthcare, Inc.",MOH,Molina Healthcare Inc,Stock - NYSE equities
Molson Coors Beverage Company Class B,None,None,None
Molten Ventures PLC,GROW,Molten Ventures PLC,Stock - London equities
Momentive Global Inc.,MNTV,Momentive Global Inc,Stock - NASDAQ equities
Momentus Inc Class A,None,None,None
Monadelphous Group Limited,None,None,None
"Monarch Casino & Resort, Inc.",MCRI,Monarch Casino & Resort Inc,Stock - NASDAQ equities
Moncler SpA,0QII,Moncler SpA,Stock - London equities
Monde Nissin Corp.,MONDE,Monde Nissin Corp,Stock - Philippines equities
"Mondelez International, Inc. Class A",None,None,None
Mondi plc,MNDI,Mondi PLC,Stock - London equities
"Monex Group, Inc.",8698,Monex Group Inc,Stock - Tokyo equities
Money Market Obligations Trust Federated Prime Value Obligations Fund Institutional,None,None,None
Money3 Corporation Limited,None,None,None
"MoneyGram International, Inc.",None,None,None
MoneyLion Inc Class A,None,None,None
"MongoDB, Inc. Class A",None,None,None
Monmouth Real Estate Investment Corporation Class A,None,None,None
"Mono Next Public Co., Ltd. NVDR",None,None,None
"Monolithic Power Systems, Inc.",MPWR,Monolithic Power Systems Inc,Stock - NASDAQ equities
"MonotaRO Co., Ltd.",MONOY,Monotaro Co Ltd,Stock - OTC Markets equities
Monro Inc,MNRO,Monro Muffler Brake Inc,Stock - NASDAQ equities
Monster Beverage Corporation,None,None,None
"Montage Technology Co., Ltd. Class A",None,None,None
"Montauk Renewables, Inc.",MNTK,Montauk Renewables Inc,Stock - NASDAQ equities
"Monte Rosa Therapeutics, Inc.",GLUE,Monte Rosa Therapeutics Inc,Stock - NASDAQ equities
Montrose Environmental Group Inc,None,None,None
Moody's Corporation,MCO,Moodys Corporation,Stock - NYSE equities
Moog Inc. Class A,None,None,None
Morgan Advanced Materials plc,MGAMM,Morgan Advanced Materials Plc,Stock - London equities
Morgan Sindall Group plc,MGNS,Morgan Sindall Group PLC,Stock - London equities
Morgan Stanley,MS,Morgan Stanley,Stock - NYSE equities
Morgan Stanley Institutional Liquidity Funds Treasury Securities Portfolio Institutional,None,None,None
Morgan Stanley Institutional Liquidity Funds treasury Portfolio Institutional,None,None,None
Mori Hills Reit Investment Corporation,None,None,None
"Mori Trust Sogo Reit, Inc.",8961,Mori Trust Sogo Reit Inc,Stock - Tokyo equities
"Morinaga Milk Industry Co., Ltd.",2264,Morinaga Milk Industry Co Ltd,Stock - Tokyo equities
"Morningstar, Inc.",MORN,Morningstar Inc,Stock - NASDAQ equities
"Morphic Holding, Inc.",MORF,Morphic Holding Inc,Stock - NASDAQ equities
Mosaic Company,MOS,Mosaic Co,Stock - NYSE equities
"Motech Industries, Inc.",NTFtmc1,Motech Industries Inc Future,Stock Future - TAIFEX equities
Motherson Sumi Systems Limited,None,None,None
Motherson Sumi Wiring India Ltd,MSWI,Motherson Sumi Wiring India Ltd,Stock - NSE equities
Motilal Oswal Financial Services Limited,None,None,None
"Motorcar Parts of America, Inc.",MPAA,Motorcar Parts of America Inc,Stock - NASDAQ equities
"Motorola Solutions, Inc.",MSI,Motorola Solutions Inc,Stock - NYSE equities
Motus Holdings Limited,None,None,None
Mount Gibson Iron Limited,None,None,None
Mouwasat Medical Services Co.,4002,Mouwasat Medical Services Company,Stock - Saudi Arabia equities
"Movado Group, Inc.",MOV,Movado Group Inc,Stock - NYSE equities
Mowi ASA,MHGVY,Mowi ASA ADR,Stock - OTC Markets equities
Mphasis Limited,MBFLc1:NS,Mphasis Limited Futures,Stock Future - NSE equities
Mr Price Group Limited,None,None,None
"Mr. Cooper Group, Inc.",COOP,Mr. Cooper Group Inc,Stock - NASDAQ equities
MrMax Holdings Ltd.,None,None,None
Muangthai Capital Public Co. Ltd. NVDR,None,None,None
Muangthai Capital Public Co. Ltd.(Alien Mkt),None,None,None
"Mueller Industries, Inc.",MLI,Mueller Industries Inc,Stock - NYSE equities
"Mueller Water Products, Inc. Class A",None,None,None
Mullen Group Ltd.,MTL,Mullen Group Ltd.,Stock - Toronto equities
MultiPlan Corp Class A,None,None,None
Multichoice Group Ltd,MCGJ,MultiChoice Group Ltd,Stock - Johannesburg equities
Multiplan Empreendimentos Imobiliarios SA,None,None,None
Munich Reinsurance Company,None,None,None
Munters Group AB,MTRS,Munters Group AB,Stock - Stockholm equities
"Murata Manufacturing Co., Ltd.",None,None,None
Murphy Oil Corporation,MUR,Murphy Oil Corporation,Stock - NYSE equities
"Murphy USA, Inc.",MUSA,Murphy USA Inc,Stock - NYSE equities
Murray & Roberts Holdings Limited,MYI,Murray International Trust,Stock - London equities
"Musashi Seimitsu Industry Co., Ltd.",7220,Musashi Seimitsu Industry Co Ltd,Stock - Tokyo equities
"Musashino Bank, Ltd.",8336,The Musashino Bank Ltd,Stock - Tokyo equities
Musharaka REIT Fund,None,None,None
"Mustang Bio, Inc.",MBIO,Mustang Bio Inc,Stock - NASDAQ equities
Musti Group Oyj,None,None,None
Mutares SE & Co. KGaA,None,None,None
Muthoot Finance Limited,None,None,None
"Muyuan Foods Co., Ltd. Class A",None,None,None
My E.G. Services Bhd.,None,None,None
"MyMD Pharmaceuticals, Inc.",MYMD,MyMD Pharmaceuticals Inc,Stock - NASDAQ equities
Mycronic AB,MYCR,Mycronic publ AB,Stock - Stockholm equities
"Mydecine Innovations Group, Inc.",MYCOF,Mydecine Innovations Group Inc,Stock - OTC Markets equities
Myer Holdings Limited,None,None,None
"Myers Industries, Inc.",MYE,Myers Industries Inc,Stock - NYSE equities
Mynaric AG,MYNA,Mynaric AG ADR,Stock - NASDAQ equities
Mynaric AG Sponsored ADR,None,None,None
Myovant Sciences Ltd.,MYOV,Myovant Sciences Ltd,Stock - NYSE equities
"Myriad Genetics, Inc.",MYGN,Myriad Genetics Inc,Stock - NASDAQ equities
Mystate Limited,None,None,None
N Brown Group plc,BWNG,N Brown Group PLC,Stock - London equities
"NACCO Industries, Inc. Class A",None,None,None
"NAFCO Co., Ltd.",2790,Nafco Co Ltd,Stock - Tokyo equities
"NANOCMS CO., LTD.",247660,Nanocms Co Ltd,Stock - KOSDAQ equities
NANTEX INDUSTRY CO LTD,2108,Nantex Industry Co Ltd,Stock - Taiwan equities
"NAPCO Security Technologies, Inc.",NSSC,NAPCO Security Technologies Inc,Stock - NASDAQ equities
"NARI Technology Co., Ltd. Class A",None,None,None
"NAT GAMES Co., Ltd.",225570,Nat Games Co Ltd,Stock - KOSDAQ equities
NAURA Technology Group Co Ltd Class A,None,None,None
NAVER Corp.,035420,Naver Corp,Stock - Seoul equities
NB Private Equity Partners Limited Class A,None,None,None
NBCC (INDIA) LIMITED,None,None,None
NBT Bancorp Inc.,NBTB,NBT Bancorp Inc,Stock - NASDAQ equities
NCC AB Class B,None,None,None
NCC Group plc,None,None,None
NCC Limited,None,None,None
NCR Corporation,NCR,NCR Corp,Stock - NYSE equities
"NCS Multistage Holdings, Inc.",NCSM,NCS Multistage Holdings Inc,Stock - NASDAQ equities
NCsoft Corporation,None,None,None
NE Neungyule. Inc.,053290,Neungyule Education Inc,Stock - KOSDAQ equities
NEC Capital Solutions Limited,None,None,None
NEC Corp.,6701,NEC Corp.,Stock - Tokyo equities
NEL ASA,NLLSF,Nel ASA,Stock - OTC Markets equities
NEOWIZ,042420,Neowiz Holdings Corp,Stock - KOSDAQ equities
NEPI Rockcastle Plc,NRP,NEPI Rockcastle PLC,Stock - Amsterdam equities
"NETGEAR, Inc.",NTGR,NETGEAR Inc,Stock - NASDAQ equities
NETSTREIT Corp.,NTST,Netstreit Corp,Stock - NYSE equities
"NEXON Co., Ltd.",3659,Nexon Co Ltd,Stock - Tokyo equities
NEXTENSA,0NUT,Nextensa NV,Stock - London equities
NFI Group Inc.,NFI,NFI Group Inc,Stock - Toronto equities
"NGK Insulators, Ltd.",5333,"NGK Insulators, Ltd.",Stock - Tokyo equities
"NGK SPARK PLUG CO., LTD.",5334,Ngk Spark Plug Co Ltd,Stock - Tokyo equities
NGL Energy Partners LP,NGL,NGL Energy Partners LP,Stock - NYSE equities
NGL Energy Partners LP Cum Red Perp Pfd Units B,None,None,None
"NGM Biopharmaceuticals, Inc.",NGM,NGM Biopharmaceuticals Inc,Stock - NASDAQ equities
NH Foods Ltd.,2282,NH Foods Ltd,Stock - Tokyo equities
NH INVESTMENT & SECURITIES CO.LTD.,NHIC,Newhold Investment II Corp,Stock - NASDAQ equities
"NHK Spring Co., Ltd.",5991,Nhk Spring Co Ltd,Stock - Tokyo equities
NHN BUGS Corp,None,None,None
NHN Corporation,None,None,None
NHPC Limited,None,None,None
"NI Holdings, Inc.",NODK,NI Holdings Inc,Stock - NASDAQ equities
NIB Holdings Ltd,None,None,None
NIBE Industrier AB Class B,None,None,None
"NICE Holdings Co., Ltd.",None,None,None
NICE Ltd,NICE,Nice Ltd ADR,Stock - NASDAQ equities
NICE Ltd Sponsored ADR,None,None,None
"NIHON HOUSE HOLDINGS Co., Ltd.",None,None,None
NIIT Limited,None,None,None
"NIKE, Inc. Class B",None,None,None
"NIKKON Holdings Co., Ltd.",9072,Nikkon Holdings Co Ltd,Stock - Tokyo equities
NIO Inc. Sponsored ADR Class A,None,None,None
NIPPN Corporation,None,None,None
"NIPPON EXPRESS HOLDINGS,INC.",None,None,None
NIPPON PAINT HOLDINGS CO.LTD.,None,None,None
NIPPON REIT Investment Corp,3296,Nippon REIT Investment Corp,Stock - Tokyo equities
NIPPON STEEL CORP.,5401,Nippon Steel Corp,Stock - Tokyo equities
NIPPON STEEL TRADING CORPORATION,None,None,None
NKT A/S,NKTCMAGSG,Nikkei-TOCOM Agricultural Product & Sugar,Index - Tokyo indice
NL Industries Inc,NL,NL Industries Inc,Stock - NYSE equities
NMDC Limited,None,None,None
"NMI Holdings, Inc. Class A",None,None,None
NN Group N.V.,None,None,None
"NN, Inc.",NNBR,NN Inc,Stock - NASDAQ equities
NNIT A/S,None,None,None
NOK Corporation,None,None,None
NOS SGPS SA,0J1Z,Nos SGPS SA,Stock - London equities
NOV Inc.,NOV,Nov Inc,Stock - NYSE equities
NOVATEK JSC,None,None,None
NOVATEK JSC Sponsored GDR RegS,None,None,None
NOVONIX Ltd,NVX,Novonix Ltd ADR,Stock - NASDAQ equities
NOW Inc.,DNOW,Now Inc,Stock - NYSE equities
NP3 Fastigheter AB,NP3,NP3 Fastigheter AB,Stock - Stockholm equities
"NRG Energy, Inc.",NRG,NRG Energy Inc,Stock - NYSE equities
NRW Holdings Limited,None,None,None
"NRX Pharmaceuticals, Inc.",NRXP,NRX Pharmaceuticals Inc,Stock - NASDAQ equities
"NS United Kaiun Kaisha,Ltd.",9110,NS United Kaiun Kaisha Ltd,Stock - Tokyo equities
NSI N.V.,None,None,None
NSK Ltd.,6471,NSK Ltd.,Stock - Tokyo equities
NTN Corporation,None,None,None
NTPC Limited,None,None,None
NTT DATA Corporation,None,None,None
NTT UD REIT Investment Corporation,None,None,None
NV5 Global Inc,NVEE,NV5 Global Inc,Stock - NASDAQ equities
NVE Corporation,NVEC,NVE Corporation,Stock - NASDAQ equities
NVIDIA Corporation,NVDA,NVIDIA Corporation,Stock - NASDAQ equities
"NVR, Inc.",NVR,NVR Inc,Stock - NYSE equities
NWS Holdings Limited,None,None,None
NXP Semiconductors NV,NXPI,NXP Semiconductors NV,Stock - NASDAQ equities
Nabors Industries Ltd.,NBR,Nabors Industries Ltd,Stock - NYSE equities
Nabtesco Corporation,None,None,None
NagaCorp Ltd.,NGCRF,Nagacorp Ltd,Stock - OTC Markets equities
"Nagase & Co., Ltd.",8012,Nagase & Co Ltd,Stock - Tokyo equities
Nam Tai Property Inc.,NTP,Nam Tai Property Inc,Stock - NYSE equities
"Namchow Holdings Co., Ltd.",None,None,None
Namhae Chemical Corporation,None,None,None
"Nan Liu Enterprise Co., Ltd",6504,Nan Liu Enterprise Co Ltd,Stock - Taiwan equities
Nan Ya Plastics Corporation,None,None,None
Nan Ya Printed Circuit Board Corporation,None,None,None
Nano Dimension Ltd Sponsored ADR,None,None,None
"NanoString Technologies, Inc.",NSTG,NanoString Technologies Inc,Stock - NASDAQ equities
"NanoViricides, Inc.",NNVC,NanoViricides Inc,Stock - NYSE equities
Nanofilm Technologies International Ltd.,None,None,None
"NantHealth, Inc.",None,None,None
"Nantong Jianghai Capacitor Co., Ltd. Class A",None,None,None
"Nanxing Machinery Co., Ltd. Class A",None,None,None
Nanya Technology Corporation,None,None,None
Naphtha Israel Petroleum Corp Ltd,ILNFTA8=TA,Naphtha Israel Petroleum Corp Ltd 2.36 25-Jan-2025,Bond - Tel Aviv bond
"Nasdaq, Inc.",NDAQ,Nasdaq Inc,Stock - NASDAQ equities
Naspers Limited Class N,None,None,None
NatWest Group Plc,NWG,Natwest Group PLC,Stock - NYSE equities
NatWest Group Plc Sponsored ADR,None,None,None
"Natera, Inc.",NTRA,Natera Inc,Stock - NASDAQ equities
"Nathan's Famous, Inc.",None,None,None
National Agricultural Development Co.,None,None,None
National Aluminium Co. Ltd.,NALU,National Aluminum Co. Ltd.,Stock - NSE equities
National Atomic Company Kazatomprom JSC Sponsored GDR RegS,None,None,None
National Australia Bank Limited,None,None,None
National Bank Holdings Corporation Class A,None,None,None
National Bank of Canada,NA,National Bank of Canada,Stock - Toronto equities
National Bank of Greece S.A.,None,None,None
National Bank of Kuwait K.S.C.,None,None,None
"National Bankshares, Inc.",AMNB,American National Bankshares Inc,Stock - NASDAQ equities
National Beverage Corp.,FIZZ,National Beverage Corp,Stock - NASDAQ equities
"National CineMedia, Inc.",NCMI,National CineMedia Inc,Stock - NASDAQ equities
National Energy Services Reunited Corp.,NESR,National Energy Services Reunited Corp,Stock - NASDAQ equities
National Express Group PLC,None,None,None
National Fuel Gas Company,NFG,National Fuel Gas Company,Stock - NYSE equities
National Grid plc,NGG,National Grid PLC ADR,Stock - NYSE equities
National Grid plc Sponsored ADR,None,None,None
"National Health Investors, Inc.",NHI,National Health Investors Inc,Stock - NYSE equities
National HealthCare Corporation,NHC,National HealthCare Corporation,Stock - NYSE equities
National Industrialization Co.,2060,National Industrialization Co,Stock - Saudi Arabia equities
National Industries Group (Holding) SAK,NIND,National Industries Group Holding SAK,Stock - Kuwait City equities
National Instruments Corporation,NATI,National Instruments Corporation,Stock - NASDAQ equities
National Petrochemical Co. (Saudi Arabia),None,None,None
"National Presto Industries, Inc.",NPK,National Presto Industries Inc,Stock - NYSE equities
National Research Corporation,None,None,None
"National Retail Properties, Inc.",NNN,National Retail Properties Inc,Stock - NYSE equities
National Security Group Inc,NSEC,National Security Group Inc,Stock - NASDAQ equities
National Silicon Industry Group Co. Ltd. Class A,None,None,None
National Storage Affiliates Trust,NSA,National Storage Affiliates Trust,Stock - NYSE equities
National Storage REIT,NSR,National Storage REIT,Stock - Sydney equities
"National Vision Holdings, Inc.",EYE,National Vision Holdings Inc,Stock - NASDAQ equities
"National Western Life Group, Inc. Class A",None,None,None
Natura & Co Holding SA,NG,Natural Gas Futures,Commodity - NYMEX commodity
"Natural Alternatives International, Inc.",None,None,None
"Natural Gas Services Group, Inc.",NGS,Natural Gas Services Group Inc,Stock - NYSE equities
"Natural Grocers by Vitamin Cottage, Inc.",NGVC,Natural Grocers by Vitamin Cottage Inc,Stock - NYSE equities
Natural Health Trends Corp.,None,None,None
Natural Order Acquisition Corp,NOAC,Natural Order Acquisition Corp,Stock - NASDAQ equities
"Nature's Sunshine Products, Inc.",None,None,None
"Naturgy Energy Group, S.A.",None,None,None
Natus Medical Incorporated,NTUS,Natus Medical Incorporated,Stock - NASDAQ equities
"Nautilus Biotechnolgy, Inc.",None,None,None
Nautilus Inc,NLS,Nautilus Group Inc,Stock - NYSE equities
Nava Bharat Ventures Limited,None,None,None
Navient Corp,NAVI,Navient Corp,Stock - NASDAQ equities
Navigator Company SA,NVGR,The Navigator Company SA,Stock - Lisbon equities
"Navinfo Co., Ltd. Class A",None,None,None
Navios Maritime Partners LP,NMM,Navios Maritime Partners LP Unit,Stock - NYSE equities
Navitas Semiconductor Corporation,None,None,None
Nawi Brothers Group Ltd,ILNAWI5=TA,NAWI BROTHERS GROUP LTD - NAWI 1.35 01-JUN-2023,Bond - Tel Aviv bond
Nayax Ltd.,NYAX,Nayax Ltd,Stock - Tel Aviv equities
Nazara Technologies Ltd.,NAZA,Nazara Technologies Ltd,Stock - NSE equities
"Necessity Retail REIT, Inc. Class A",None,None,None
Nedbank Group Limited,None,None,None
Neenah Inc,NP,Neenah Paper Inc,Stock - NYSE equities
Neinor Homes SA,None,None,None
Nektar Therapeutics,NKTR,Nektar Therapeutics,Stock - NASDAQ equities
Neles Oyj,MXTOF,Neles Oyj,Stock - OTC Markets equities
"Nelnet, Inc. Class A",None,None,None
Nemak SAB de CV,NEMAKA,Nemak SAB de CV,Stock - Mexico equities
Nemetschek SE,None,None,None
NeoGames SA,NGMS,Neogames SA,Stock - NASDAQ equities
"NeoGenomics, Inc.",NEO,NeoGenomics Inc,Stock - NASDAQ equities
NeoPhotonics Corporation,NPTN,NeoPhotonics Corporation,Stock - NYSE equities
Neoen S.A.,None,None,None
Neoenergia SA,NEOE3,NEOENERGIA SA,Stock - BM&FBovespa equities
Neogen Corporation,NEOG,Neogen Corporation,Stock - NASDAQ equities
"Neoleukin Therapeutics, Inc",None,None,None
Neometals Ltd.,NMT,Neometals Ltd,Stock - Sydney equities
"Neptune Wellness Solutions, Inc.",NEPT,Neptune Wellness Solutions Inc,Stock - Toronto equities
"NerdWallet, Inc. Class A",None,None,None
Nerdy Inc Class A,None,None,None
Neste Corporation,None,None,None
Nestle (Malaysia) Bhd.,NESM,Nestle (Malaysia) Bhd,Stock - Kuala Lumpur equities
Nestle India Ltd.,NEST,Nestle India Ltd,Stock - NSE equities
Nestle S.A.,None,None,None
"Net 1 UEPS Technologies, Inc.",UEPS,Net 1 UEPS Technologies Inc,Stock - NASDAQ equities
Net Insight AB Class B,None,None,None
"NetApp, Inc.",NTAP,NetApp Inc,Stock - NASDAQ equities
NetDragon Websoft Holdings Limited,None,None,None
"NetEase, Inc",NTES,NetEase Inc,Stock - NASDAQ equities
"NetEase, Inc. Sponsored ADR",None,None,None
"NetScout Systems, Inc.",NTCT,NetScout Systems Inc,Stock - NASDAQ equities
"NetSol Technologies, Inc.",NTWK,NetSol Technologies Inc,Stock - NASDAQ equities
Netcare Limited,None,None,None
Netcompany Group A/S,None,None,None
"Netflix, Inc.",NFLX,Netflix Inc,Stock - NASDAQ equities
Netmarble Corp.,251270,Netmarble Games Corp,Stock - Seoul equities
"Netronix, Inc.",None,None,None
"Neturen Co., Ltd.",5976,Neturen Co Ltd,Stock - Tokyo equities
Network International Holdings Plc,NETW,Network International Holdings PLC,Stock - London equities
NeuBase Therapeutics Inc,NBSE,NeuBase Therapeutics Inc,Stock - NASDAQ equities
"Neural Pocket, Inc.",4056,Neural Pocket Inc,Stock - Tokyo equities
"NeuroPace, Inc.",NPCE,Neuropace Inc,Stock - NASDAQ equities
"Neurocrine Biosciences, Inc.",NBIX,Neurocrine Biosciences Inc,Stock - NASDAQ equities
"Neuronetics, Inc.",STIM,Neuronetics Inc,Stock - NASDAQ equities
Nevro Corp.,NVRO,Nevro Corp,Stock - NYSE equities
"New China Life Insurance Co., Ltd. Class A",None,None,None
"New China Life Insurance Co., Ltd. Class H",None,None,None
New Fortress Energy Inc. Class A,None,None,None
New Gold Inc.,NGD,New Gold Inc,Stock - NYSE equities
New Hope Corporation Limited,None,None,None
"New Hope Liuhe Co., Ltd. Class A",None,None,None
New Horizon Health Limited,None,None,None
New Jersey Resources Corporation,None,None,None
New Mountain Finance Corporation,NMFC,New Mountain Finance Corporation,Stock - NASDAQ equities
"New Oriental Education & Technology Group, Inc.",EDU,New Oriental Education & Technology,Stock - NYSE equities
"New Oriental Education & Technology Group, Inc. Sponsored ADR",EDU,New Oriental Education & Technology,Stock - NYSE equities
"New Relic, Inc.",NEWR,New Relic Inc,Stock - NYSE equities
New Residential Investment Corp Cum Conv Red Perp Pfd Registered Shs Series A,None,None,None
New Residential Investment Corp Cum Conv Red Perp Pfd Registered Shs Series B,None,None,None
New Residential Investment Corp.,NRZ,New Residential Investment Corp,Stock - NYSE equities
New Residential Investment Corp. Cum Conv Red Perp Pfd Registered Shs Series C,None,None,None
New Residential Investment Corp. Cum Conv Red Perp Pfd Registered Shs Series D,None,None,None
New Wave Group AB Class B,None,None,None
New World Development Co. Ltd.,NDVLY,New World Development Co Ltd ADR,Stock - OTC Markets equities
"New York Community Bancorp, Inc.",NYCB,New York Community Bancorp Inc,Stock - NYSE equities
"New York Community Bancorp, Inc. Deposit Shs Repr 1/40th Non Cum Perp Pfd Registered Series A",None,None,None
"New York Mortgage Trust, Inc.",NYMT,New York Mortgage Trust Inc,Stock - NASDAQ equities
"New York Mortgage Trust, Inc. Cum Conv Perp Red Pfd Registered Shs Series D",None,None,None
"New York Mortgage Trust, Inc. Cum Conv Red Pfd Registered Shs Series E",None,None,None
"New York Mortgage Trust, Inc. Cum Conv Red Pfd Registered Shs Series F",None,None,None
New York Times Company Class A,None,None,None
New Zealand Refining Co. Ltd.,CHI,New Zealand Refining Company Ltd,Stock - New Zealand equities
NewAge Inc,NBEV,Newage Inc,Stock - NASDAQ equities
NewMarket Corporation,NEU,NewMarket Corporation,Stock - NYSE equities
NewRiver REIT plc,None,None,None
Newborn Town Inc.,9911,Newborn Town Inc,Stock - Hong Kong equities
Newcrest Mining Limited,None,None,None
Newell Brands Inc,NWL,Newell Brands Inc,Stock - NASDAQ equities
Newlat Food S.p.A.,None,None,None
"Newmark Group, Inc. Class A",None,None,None
Newmont Corporation,None,None,None
"Newpark Resources, Inc.",NR,Newpark Resources Inc,Stock - NYSE equities
News Corporation Class A,None,None,None
News Corporation Class B,None,None,None
Newtek Business Services Corp.,NEWT,Newtek Business Services Corp,Stock - NASDAQ equities
NexGen Energy Ltd.,NXE,NexGen Energy Ltd.,Stock - Toronto equities
"NexImmune, Inc.",NEXI,Neximmune Inc,Stock - NASDAQ equities
"NexPoint Residential Trust, Inc.",NXRT,Nexpoint Residential Trust Inc,Stock - NYSE equities
"NexTier Oilfield Solutions, Inc.",NEX,Nextier Oilfield Solutions Inc,Stock - NYSE equities
Nexa Resources S.A.,DEA19G4E=F,"Nexa Resources S.A. 5,375% 17/27",Bond - Frankfurt bond
Nexans SA,NEXS,Nexans SA,Stock - Paris equities
Nexen Tire Corp,002355,Nexen Tire Prf 1,Stock - Seoul equities
Nexi S.p.A.,None,None,None
Nexity SA Class A,None,None,None
"Nexon GT Co., Ltd.",041140,Nexon GT Co Ltd,Stock - KOSDAQ equities
"Nexstar Media Group, Inc. Class A",None,None,None
Next plc,NXT,Next PLC,Stock - London equities
"NextCure, Inc.",NXTC,NextCure  Inc,Stock - NASDAQ equities
NextDecade Corp.,NEXT,Nextdecade Corp,Stock - NASDAQ equities
NextEra Energy Partners LP,NEP,Nextera Energy Partners LP,Stock - NYSE equities
"NextEra Energy, Inc.",NEE,Nextera Energy Inc,Stock - NYSE equities
"NextEra Energy, Inc. Corporate Units Cons of Debenture 01.03.25 + 1 PC 01.03.23",None,None,None
"NextEra Energy, Inc. Corporate Units Cons of Debenture 01.09.24 + 1 PC 01.09.22",None,None,None
"NextEra Energy, Inc. Corporate Units Cons of Debenture 01.09.25 + 1 PC 01.09.23",None,None,None
"NextGen Healthcare, Inc.",NXGN,Nextgen Healthcare Inc,Stock - NASDAQ equities
Nextdc Limited,None,None,None
"Nextdoor Holdings, Inc. Class A",None,None,None
Nexteer Automotive Group Limited,None,None,None
NiSource Inc,NI,NiSource Inc,Stock - NYSE equities
NiSource Inc Inc Depositary Shs Repr 1/1000th Cum Red Perp Pfd Rg Shs Series B,None,None,None
NiSource Inc. Cum Red Perp Pfd Registered Shs Series A 144A,None,None,None
"NiSun International Enterprise Development Group Co., Ltd. Class A",None,None,None
Nichias Corporation,None,None,None
Nichiha Corporation,None,None,None
Nichirei Corporation,None,None,None
"Nichireki Co., Ltd.",5011,Nichireki Co Ltd,Stock - Tokyo equities
"Nicholas Financial, Inc.",NICK,Nicholas Financial Inc,Stock - NASDAQ equities
Nick Scali Limited,None,None,None
Nickel Asia Corp.,NIKL,Nickel Asia Corp,Stock - Philippines equities
Nickel Mines Ltd.,NIC,Nickel Mines Ltd,Stock - Sydney equities
"Nicolet Bankshares, Inc.",NCBS,Nicolet Bankshares Inc,Stock - NASDAQ equities
Nidec Corporation,NJDCY,Nidec Corporation,Stock - OTC Markets equities
Nielsen Holdings Plc,NLSN,Nielsen Holdings PLC,Stock - NYSE equities
"Nien Made Enterprise Co., Ltd.",8464,Nien Made Enterprise Co Ltd,Stock - Taiwan equities
Nifco Inc.,7988,Nifco Inc,Stock - Tokyo equities
"Nihon Chouzai Co., Ltd.",3341,Nihon Chouzai Co Ltd,Stock - Tokyo equities
"Nihon Dempa Kogyo Co., Ltd.",6779,Nihon Dempa Kogyo Co Ltd,Stock - Tokyo equities
"Nihon Flush Co., Ltd.",7820,Nihon Flush Co Ltd,Stock - Tokyo equities
Nihon Kohden Corporation,None,None,None
Nihon M&A Center Holdings Inc.,2127,Nihon M&A Center Inc,Stock - Tokyo equities
"Nihon Parkerizing Co., Ltd.",None,None,None
"Nihon Tokushu Toryo Co., Ltd.",4619,Nihon Tokushu Toryo Co Ltd,Stock - Tokyo equities
"Nihon Trim Co., Ltd.",6788,Nihon Trim Co Ltd,Stock - Tokyo equities
"Nihon Unisys,Ltd.",None,None,None
Nikola Corporation,None,None,None
Nine Dragons Paper Holdings Ltd.,NDGPY,Nine Dragons Paper Holdings Ltd ADR,Stock - OTC Markets equities
Nine Entertainment Co. Holdings Limited,None,None,None
Ninestar Corporation Class A,None,None,None
Ninety One Limited,None,None,None
Ninety One Plc,N91,Ninety One PLC,Stock - London equities
"Ningbo David Medical Device Co., Ltd. Class A",None,None,None
Ningbo Orient Wires & Cables Co Ltd Class A,603606,Ningbo Orient Wires and Cables Co Ltd,Stock - Shanghai equities
"Ningbo Peacebird Fashion Co., Ltd. Class A",None,None,None
Ningbo Ronbay New Energy Technology Co. Ltd. Class A,None,None,None
"Ningxia Baofeng Energy Group Co., Ltd. Class A",None,None,None
"Ningxia Building Materials Group Co., Ltd. Class A",None,None,None
"Nintendo Co., Ltd.",7974,Nintendo Co Ltd,Stock - Tokyo equities
Nippo Corporation,None,None,None
Nippon Accommodations Fund Inc.,3226,Nippon Accommodations Fund Inc,Stock - Tokyo equities
"Nippon Building Fund, Inc.",8951,Nippon Building Fund Inc,Stock - Tokyo equities
"Nippon Carbon Co., Ltd.",5302,Nippon Carbon Co Ltd,Stock - Tokyo equities
"Nippon Ceramic Co., Ltd.",6929,Nippon Ceramic Co Ltd,Stock - Tokyo equities
"Nippon Chemical Industrial Co., Ltd.",4092,Nippon Chemical Industrial Co Ltd,Stock - Tokyo equities
"Nippon Coke & Engineering Company, Limited",3315,Nippon Coke & Engineering Ltd,Stock - Tokyo equities
"Nippon Denko Co., Ltd.",5563,Nippon Denko Co Ltd,Stock - Tokyo equities
"Nippon Densetsu Kogyo Co., Ltd.",None,None,None
"Nippon Electric Glass Co., Ltd.",5214,"Nippon Electric Glass Co., Ltd.",Stock - Tokyo equities
"Nippon Kayaku Co., Ltd.",4272,"Nippon Kayaku Co., Ltd.",Stock - Tokyo equities
Nippon Kodoshi Corporation,None,None,None
"Nippon Koei Co., Ltd.",None,None,None
"Nippon Light Metal Holdings Co., Ltd.",None,None,None
"Nippon Paper Industries Co., Ltd.",3863,"Nippon Paper Industries Co., Ltd.",Stock - Tokyo equities
"Nippon Prologis REIT, Inc.",3283,Nippon Prologis REIT Inc,Stock - Tokyo equities
Nippon Sanso Holdings Corporation,None,None,None
