Symbol,Name,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38,Cluster_39,Cluster_40,Cluster_41,Cluster_42,Cluster_43,Cluster_44
PTNR,Partner Communications Company Ltd ADR,2,3,3,0,0,0,0,0,0,0,0,0,14,0,14,14,14,13,0,0,0,0,0,0,0,23,12,0,29,0,0,0,31,31,31,0,0,0,29,29,29,29
SCHL,Scholastic Corp,1,1,0,5,6,3,3,3,3,10,10,5,5,5,5,5,10,3,13,13,13,13,17,17,17,17,17,17,17,4,4,13,4,17,17,17,17,17,17,17,17,17
OSIS,OSI Systems Inc,0,2,4,4,2,6,6,9,9,9,9,9,9,9,9,17,17,17,8,8,8,8,8,8,8,27,27,8,8,8,27,8,8,27,8,8,27,8,27,27,27,27
GOGO,Gogo Inc,1,3,3,1,1,1,4,1,4,4,12,13,13,13,13,13,13,13,20,20,20,20,20,20,20,20,20,29,29,29,29,29,29,29,29,29,29,29,29,29,42,42
RDWR,Radware Ltd,0,2,4,4,4,2,8,8,8,8,8,8,8,8,8,17,8,8,12,2,2,2,2,12,12,12,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
SVC,Service Properties Trust,1,1,0,5,5,5,5,3,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,32,32,32,32,32,32,32,32,32,32,32,32
PRIM,Primoris Services Corp,2,3,3,0,0,0,0,0,0,0,0,0,0,13,0,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
VNET,VNET Group Inc ADR,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,36,16,16,16,16,16,16,16
AMRN,Amarin Corporation PLC ADR,2,0,2,2,2,6,6,9,9,9,9,3,3,3,3,9,9,19,8,8,8,8,8,8,25,27,27,27,27,27,27,27,27,27,27,27,27,27,27,41,41,41
HEES,H&E Equipment Services Inc,2,3,3,0,0,0,0,0,0,0,0,0,0,0,16,16,16,0,0,0,0,0,0,7,7,7,7,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7
MLAB,Mesa Laboratories Inc,0,2,4,4,4,2,2,6,6,6,8,8,8,8,8,8,17,17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
VECO,Veeco Instruments Inc,1,3,3,1,1,1,4,4,5,4,12,13,13,13,13,13,13,13,20,20,20,20,20,20,20,20,20,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
TRS,TriMas Corp,0,2,2,2,2,6,6,9,9,9,9,9,9,9,9,17,0,17,12,12,12,12,12,8,8,8,8,8,8,12,12,12,12,8,8,8,8,8,8,8,8,8
SBSI,Southside Bancshares Inc,2,3,3,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,0,0,0,0,0,0,0,6,7,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7
MRTN,Marten Transport Ltd,0,2,4,4,4,2,2,6,6,6,6,6,6,6,6,6,17,17,2,2,2,2,2,2,2,2,2,2,2,2,2,15,15,2,2,15,15,15,15,15,15,2
HSKA,Heska Corp,0,2,3,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,5,5,7,7,5,5,5,21,11,5,5,5,5,5,11,35,35,35,35,35,35,35,35,35
ROCC,Ranger Oil Corp Class A,1,0,0,5,6,7,7,7,7,10,10,10,10,10,10,10,10,10,13,13,9,9,9,9,9,9,9,9,17,17,13,13,17,17,17,17,38,38,38,38,38,17
GPRO,GoPro Inc Class A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PLYA,Playa Hotels & Resorts NV,1,1,0,5,5,5,5,5,5,10,5,5,5,5,5,5,5,5,4,4,4,4,17,17,17,17,17,17,4,4,4,4,4,4,4,4,4,4,4,4,4,4
RDNT,RadNet Inc,0,2,4,4,3,2,8,8,8,8,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,28,28,28,28,28,28,28,28,21,28,28,28,21,28,28,28
AOSL,Alpha and Omega Semiconductor Ltd,0,3,3,3,3,4,8,4,8,8,4,4,4,4,4,4,4,4,11,5,5,5,11,5,5,5,5,5,5,5,31,5,5,31,31,5,5,5,5,5,31,31
WRLD,World Acceptance Corp,0,3,3,3,3,4,8,8,8,8,4,4,9,14,9,17,0,14,12,12,12,12,12,12,12,12,28,28,12,12,12,28,28,28,28,28,28,28,28,28,28,28
DCOM,Dime Community Bancshares Inc,2,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,4,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
NYMT,New York Mortgage Trust Inc,1,1,0,5,6,3,3,3,3,10,10,10,10,10,10,10,10,3,17,17,17,17,17,17,17,24,24,24,24,24,32,32,24,24,24,24,32,24,13,13,13,24
GIII,G-III Apparel Group Ltd,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,38,38,38,39,39
OCSL,Oaktree Specialty Lending Corp,0,3,3,3,3,4,8,4,8,8,4,4,4,4,14,14,4,14,11,11,11,11,11,11,11,11,12,11,11,31,31,31,31,31,31,31,31,31,31,31,31,31
SGH,SMART Global Holdings Inc.,0,2,3,3,3,4,8,8,8,8,4,4,4,14,4,17,0,0,7,7,7,7,7,7,7,7,28,7,7,7,7,28,28,35,35,11,11,7,35,35,35,35
INVA,Innoviva Inc,2,0,2,2,2,0,0,9,0,0,9,0,0,0,16,16,0,9,0,0,0,12,12,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
NMFC,New Mountain Finance Corp,2,0,0,0,6,3,3,3,3,3,3,5,5,5,5,5,5,3,10,10,4,23,17,17,17,17,17,17,4,4,4,4,4,4,4,4,4,4,4,4,4,4
AVID,Avid Technology Inc,0,3,3,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
STRA,Strategic Education Inc,2,0,2,2,2,6,6,9,9,9,7,7,7,7,7,9,9,19,8,8,8,8,8,25,25,25,25,25,25,27,25,25,25,25,25,25,25,25,25,41,41,41
PTGX,Protagonist Therapeutics Inc,0,3,3,3,3,4,8,4,2,2,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,11,5,5,11,11,5,11,11,5,5,5,5,5,5,5,5
BRKL,Brookline Bancorp Inc,2,0,0,0,0,0,0,0,0,3,3,0,0,0,16,16,16,16,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
MBIN,Merchants Bancorp,0,3,3,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,11,11,11,5,11,11,11
OCFC,OceanFirst Financial Corp,2,0,0,5,6,3,3,3,3,3,3,5,5,5,5,5,5,3,6,6,6,6,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
TCBK,Trico Bancshares,2,3,3,2,0,0,0,9,0,0,0,0,0,0,16,16,16,16,0,0,0,0,12,7,7,6,7,12,7,6,6,6,7,7,7,7,7,7,7,7,7,7
ENTA,Enanta Pharmaceuticals Inc,2,0,2,2,2,7,7,7,7,7,7,7,7,7,7,9,9,9,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
AMRS,Amyris Inc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,20,20,20,20,20,1,20,20,1,1,1,1,1,1,1,1,1,1,1,40,40,42,42
CDMO,Avid Bioservices Inc,0,3,3,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
WULF,Terawulf Inc,0,3,3,3,3,4,8,4,8,0,4,4,14,14,14,14,14,14,11,11,11,11,11,11,11,11,12,11,11,31,31,31,31,31,31,31,31,31,31,31,31,31
AMPH,Amphastar Pharmaceuticals Inc,0,2,2,2,2,6,6,9,9,9,9,9,9,9,9,17,17,17,12,2,12,12,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
CNOB,ConnectOne Bancorp Inc,2,3,3,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0
SAFT,Safety Insurance Group Inc,2,0,2,2,2,6,6,9,9,9,9,9,9,9,9,9,9,19,8,8,8,8,8,8,8,27,27,27,27,27,27,8,19,19,19,8,8,8,8,41,41,41
ATRA,Atara Biotherapeutics Inc,1,0,2,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,38,38,38,38,38,38
CHEF,Chefs' Warehouse Inc,2,0,2,2,2,6,6,9,9,9,9,9,9,9,9,17,9,9,12,12,12,12,12,8,8,27,27,8,12,12,12,12,12,12,12,12,12,8,8,8,8,12
CLMT,Calumet Specialty Products Partners Units,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,20,20,20,1,1,1,29,29,29,1,1,1,1,1,1,1,1,1,1,42,42
ANDE,Andersons Inc,1,1,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,17,17,17,4,4,4,13,4,4,4,4,4,39,39,39,39,39
CDXS,Codexis Inc,0,2,4,4,4,6,8,8,8,8,8,9,9,9,9,17,0,17,12,2,2,2,12,12,12,12,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
NXGN,NextGen Healthcare Inc,2,0,2,2,2,6,6,9,0,9,9,9,0,0,16,16,16,9,19,19,19,19,19,19,19,19,19,19,19,19,12,12,12,12,12,12,12,12,12,19,19,12
TVTY,Tivity Health Inc,2,0,0,0,0,0,0,0,5,5,5,5,5,15,5,5,5,5,4,4,22,4,22,22,26,26,26,26,0,0,22,22,22,34,34,34,34,34,34,34,34,34
CMCO,Columbus McKinnon Corp,0,2,4,3,2,6,6,9,9,9,9,9,9,9,9,17,0,0,7,7,7,7,7,7,7,7,8,7,7,8,8,15,15,8,35,7,7,7,35,8,8,35
GSM,Ferroglobe PLC,1,1,1,5,5,5,5,5,5,11,11,11,11,11,11,11,11,11,3,3,3,3,4,4,4,4,4,4,30,30,30,30,30,30,30,30,30,30,30,30,30,30
CNXN,PC Connection Inc,0,2,4,4,4,2,2,6,6,6,6,6,6,6,6,6,17,17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
TTMI,TTM Technologies Inc,2,0,0,0,0,0,0,0,0,5,0,0,0,0,16,16,16,16,18,0,0,0,6,6,6,0,0,6,6,6,6,6,34,34,34,34,34,34,34,34,34,34
ASTE,Astec Industries Inc,0,3,3,3,0,0,4,4,2,2,2,13,13,13,0,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
IMGN,ImmunoGen Inc,1,1,1,1,1,1,1,1,1,1,1,13,13,1,1,1,18,7,18,18,18,18,18,18,18,18,18,18,18,18,18,18,34,34,34,18,38,18,38,40,18,38
STBA,S&T Bancorp Inc,2,0,0,5,6,7,7,3,3,3,3,3,3,3,10,3,3,3,6,6,6,6,9,17,24,9,9,9,17,17,17,17,17,17,17,17,17,17,17,17,17,17
QTRX,Quanterix Corp,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,36,16,16,16,16,16,16,16
PLUS,ePlus inc,2,2,2,2,2,6,6,9,9,0,9,9,9,9,9,17,0,0,7,7,7,7,7,7,7,7,8,7,7,8,8,15,7,8,7,7,7,7,7,8,8,8
RCKT,Rocket Pharmaceuticals Inc,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
SCWX,SecureWorks Corp Class A,0,2,4,3,3,6,6,9,8,9,9,9,9,9,9,17,0,17,12,12,12,12,12,12,12,12,28,28,12,12,12,12,12,12,12,12,12,12,12,12,12,12
SRCE,1st Source Corp,2,0,2,0,0,0,0,0,0,3,3,0,0,0,16,16,16,16,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
AXSM,Axsome Therapeutics Inc,0,2,4,4,4,2,2,6,6,6,6,6,6,6,6,6,6,6,15,15,15,15,15,15,15,15,15,15,15,15,15,33,33,33,33,33,33,33,33,33,33,33
IMOS,ChipMOS Technologies Inc ADR,0,2,3,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ADUS,Addus Homecare Corp,0,2,4,4,4,2,2,6,6,6,6,6,6,6,6,6,17,17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CHCO,City Holding Co,2,0,2,2,2,6,6,9,9,9,9,9,9,9,9,17,0,9,12,12,12,12,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
LBAI,Lakeland Bancorp Inc,2,0,0,0,0,0,0,0,0,5,5,5,0,0,16,16,16,16,6,6,6,6,6,6,6,0,0,6,0,6,6,6,6,6,6,6,6,6,6,6,6,6
HCSG,Healthcare Services Group Inc,1,1,0,5,5,5,5,5,10,10,10,10,10,15,15,15,15,15,13,13,22,22,22,22,26,26,26,26,26,26,26,26,22,22,22,22,22,22,22,22,22,22
MTLS,Materialise NV ADR,0,2,4,4,4,2,2,6,6,6,6,6,6,6,2,6,6,2,15,15,15,15,15,15,15,15,15,15,15,15,15,33,33,33,36,33,33,33,33,33,33,33
ATRI,Atrion Corp,2,0,2,2,2,6,6,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,27,8,8,8,27,8,8,8,8,8,8,8,8,41,41,41
OPI,Office Properties Income Trust,1,1,1,5,5,5,5,5,10,11,11,11,11,11,11,11,11,11,3,3,3,3,3,3,3,3,3,3,3,3,26,26,26,26,26,26,26,26,26,26,26,26
GABC,German American Bancorp Inc,2,3,3,3,0,0,0,9,0,0,0,0,0,0,0,16,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
OMP,Oasis Midstream Partners LP Unit,2,3,3,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,0,0,0,0,0,0,0,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
BLFS,BioLife Solutions Inc,0,2,4,4,4,2,2,8,6,8,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,35,21,21,21,21,21,15
MRUS,Merus NV,0,3,3,3,0,0,0,4,0,0,0,4,14,14,14,14,14,14,11,11,11,11,11,11,11,11,7,11,11,7,7,7,7,7,31,11,11,11,11,11,11,11
VIVO,Meridian Bioscience Inc,0,3,3,3,3,4,4,2,2,2,2,2,2,2,2,2,2,18,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,36,36,36,16,16,16,16
PFBC,Preferred Bank,2,3,3,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,0,0,0,0,0,0,0,6,7,12,7,6,6,6,6,7,7,7,7,7,7,7,7,7
QQQX,Nuveen Nasdaq 100 Dynamic Overwrite Fund,0,2,4,3,3,4,8,8,8,8,8,8,4,14,4,17,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,35,35,7,7,7,35,35,35,35
NCBS,Nicolet Bankshares Inc,0,2,4,4,4,6,8,8,8,8,9,9,9,9,9,17,0,17,12,2,2,2,2,12,12,12,8,8,28,28,28,28,28,8,8,28,28,28,28,8,8,8
PFC,Premier Financial Corp (OHIO),2,0,2,2,0,0,0,9,0,0,0,0,0,0,16,16,16,16,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
ALTM,Altus Midstream Co Class A,0,3,3,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
HTLD,Heartland Express Inc,1,1,1,5,5,5,5,5,10,11,11,11,11,10,15,10,11,15,3,3,22,22,22,22,22,22,22,22,22,22,32,32,32,32,32,32,32,32,32,32,32,32
SHEN,Shenandoah Telecommunications Co,0,2,4,4,2,6,6,6,9,9,6,6,6,6,6,6,6,6,15,15,15,15,15,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
SCHN,Schnitzer Steel Industries Inc Class A,0,3,3,3,3,4,8,4,8,0,4,4,14,14,14,14,14,0,11,11,11,11,11,11,11,11,7,11,11,7,7,7,7,7,11,11,11,11,11,11,11,11
TSC,TriState Capital Holdings Inc,2,0,2,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
APOG,Apogee Enterprises Inc,1,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,17,17,17,4,4,4,4,4,4,4,4,4,4,4,4,4,4
EDIT,Editas Medicine Inc,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,36,16,16,16,16,16,16,16
ICHR,Ichor Holdings Ltd,0,2,4,3,3,4,8,8,8,8,8,8,4,8,4,4,4,4,7,7,7,7,7,21,21,21,21,21,28,28,28,28,28,35,35,35,35,35,35,35,35,35
PLAB,Photronics Inc,0,2,4,3,3,4,8,8,8,8,4,8,4,4,4,4,4,8,5,5,5,5,5,5,5,5,5,28,28,5,5,5,5,5,28,28,28,28,28,28,28,28
TSAT,Telesat Corp Class A,1,1,0,5,5,3,3,3,5,10,5,5,5,5,5,5,5,3,4,4,4,4,17,17,17,17,17,17,4,4,4,4,4,4,4,13,13,39,39,39,39,39
GGAL,Grupo Financiero Galicia SA ADR,1,1,0,5,5,5,5,5,10,10,10,10,10,15,15,15,15,10,13,13,22,22,22,22,26,26,26,26,26,26,22,22,22,22,22,22,22,22,22,22,22,22
CHY,Calamos Convertible and High Income Closed Fund,0,3,3,3,3,4,8,4,8,8,4,4,4,4,4,4,4,4,11,5,5,11,11,5,5,5,11,5,5,11,11,11,11,11,11,11,11,11,11,11,11,11
RGNX,Regenxbio Inc,2,0,2,2,2,6,6,9,9,9,7,7,7,7,7,9,9,9,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
PDFS,PDF Solutions Inc,0,3,3,3,3,4,4,4,8,8,4,4,4,4,4,4,4,4,5,5,5,5,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ERII,Energy Recovery Inc,0,3,3,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
MATW,Matthews International Corp Class A,1,1,0,5,5,5,5,5,10,11,11,11,11,11,15,15,15,15,3,3,3,3,3,3,3,3,3,3,4,4,26,26,26,26,26,26,26,26,26,26,26,26
BATRK,Liberty Media Corp Series C,2,0,2,2,2,6,6,9,9,9,9,9,9,9,9,17,0,17,12,12,12,12,12,8,8,27,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
DENN,Denny's Corp,2,0,2,2,2,6,6,9,9,9,9,3,9,9,3,9,9,19,8,8,8,8,8,8,8,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
LAND,Gladstone Land Corp,0,3,3,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ATLC,Atlanticus Holdings Corp,0,2,3,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
OXLC,Oxford Lane Capital Corp,1,1,0,5,5,3,3,3,3,10,10,10,10,10,10,10,10,3,13,13,13,13,17,17,13,13,13,13,13,13,32,32,13,13,13,13,13,13,13,13,13,13
AMSF,Amerisafe Inc,2,0,2,2,2,6,6,9,9,9,9,9,9,9,7,9,9,19,8,8,8,8,8,25,25,25,25,25,25,27,25,25,25,25,25,25,25,25,25,41,41,41
MNKD,MannKind Corp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADTN,ADTRAN Inc,1,1,0,0,0,0,4,0,5,5,5,13,13,13,13,13,13,13,4,4,4,4,4,4,4,4,4,4,30,30,30,30,30,30,30,30,30,30,30,30,30,30
JRVR,James River Group Holdings Ltd,2,0,2,2,2,6,6,6,9,9,6,6,6,6,6,9,9,6,8,8,8,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
ZUMZ,Zumiez Inc,0,2,4,4,3,4,8,8,8,8,8,8,8,8,4,8,8,8,5,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,35,35,35,21,21,21,21
ATEC,Alphatec Holdings Inc,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
HMST,HomeStreet Inc,0,3,3,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,11,11,11,11,11,11
ATEX,Anterix Inc,0,2,4,4,4,2,2,8,6,8,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,28,28,28,28,2,2,28,21,21,21,21,21,21,21,21
FLWS,1-800-Flowers.Com Inc Class A,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,2,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,36,35,35,35,36,36,36,15
SRNE,Sorrento Therapeutics Inc,0,2,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,18,16,16,16,16,16,16,16,16,20,16,16,16,16,16,16,16,16,36,36,36,40,40,40,40
BLNK,Blink Charging Co,0,3,3,3,3,4,4,2,2,2,2,2,2,2,2,2,2,18,16,16,16,16,16,16,16,16,11,16,16,16,11,16,16,16,16,16,16,16,16,16,16,16
FORR,Forrester Research Inc,2,3,3,0,0,0,0,0,0,0,0,0,0,0,16,14,0,0,0,0,0,0,12,0,0,7,7,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
CHI,Calamos Convertible Opportunities and Income Closed Fund,0,3,3,3,3,4,8,4,8,8,4,4,4,4,4,4,4,4,11,5,5,11,11,5,5,5,11,5,5,11,11,11,11,11,11,11,11,11,11,11,11,11
PERI,Perion Network Ltd,0,3,3,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
TGLS,Tecnoglass Inc,0,3,3,3,3,4,8,4,8,8,4,4,14,14,14,14,14,14,11,11,11,11,11,11,11,11,12,11,11,31,31,31,31,31,31,31,31,31,31,31,31,31
CHRS,Coherus BioSciences Inc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ORGO,Organogenesis Holdings Inc Class A,2,3,3,1,1,1,1,1,1,1,1,13,13,13,13,13,18,18,20,20,20,20,20,20,20,18,20,18,18,29,29,29,29,29,29,37,37,37,37,37,42,42
RBCAA,Republic Bancorp Inc Class A,2,0,2,2,2,6,6,9,0,0,9,9,9,9,9,17,0,16,12,12,12,12,12,8,8,6,8,12,12,12,12,12,12,12,12,12,12,12,12,8,8,12
FARO,FARO Technologies Inc,0,2,4,4,4,2,2,2,6,6,8,8,8,8,8,2,2,2,7,7,7,7,16,21,21,21,16,21,21,21,21,15,15,35,35,15,15,15,15,15,15,35
WASH,Washington Trust Bancorp Inc,2,0,0,0,0,0,0,0,0,3,3,0,0,0,16,16,16,16,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
KRNY,Kearny Financial Corp,2,0,0,0,6,3,3,3,3,3,3,5,5,5,5,5,5,3,4,4,6,6,17,17,17,17,17,17,4,4,4,4,4,4,4,4,17,17,17,17,17,4
AGYS,Agilysys Inc,0,2,4,4,4,2,8,8,8,8,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,35,35,35,36,36,36,15
CNDT,Conduent Inc,1,1,0,5,5,5,5,5,10,10,10,10,10,15,15,15,15,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,22,22,22,22,22,22,22,22,22,22
PLCE,Children's Place Inc,2,0,0,5,6,7,7,3,3,3,5,5,5,5,5,5,7,3,6,6,6,6,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
HA,Hawaiian Holdings Inc,1,1,0,5,5,5,5,5,10,10,10,10,10,10,15,15,15,15,13,13,13,13,13,13,13,13,13,13,13,13,26,26,13,13,13,13,13,13,13,13,13,13
SPTN,SpartanNash Co,1,1,1,1,1,1,1,1,1,11,11,11,11,11,11,11,11,11,3,3,3,3,3,3,3,3,3,3,3,3,30,30,3,3,3,30,3,30,30,30,30,30
NRC,National Research Corp,0,2,4,4,2,6,6,6,9,9,6,6,6,6,6,6,17,17,8,8,8,8,8,2,2,25,2,2,2,2,2,2,8,2,2,2,2,2,2,2,2,2
HURN,Huron Consulting Group Inc,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,8,25,25,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
AVXL,Anavex Life Sciences Corp,0,3,3,3,3,4,8,4,8,8,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,11,5,5,5,5,5,5,5,5
RMR,RMR Group Inc Class A,2,0,0,2,6,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
NNDM,Nano Dimension Ltd ADR,1,1,1,1,5,5,5,5,10,11,11,11,11,11,11,11,11,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
VREX,Varex Imaging Corp,1,1,0,5,6,3,3,3,3,10,10,5,5,5,5,5,5,3,13,13,13,13,17,17,17,17,17,17,4,4,4,4,4,4,4,4,17,17,17,17,17,17
HLIT,Harmonic Inc,0,2,4,3,3,4,8,8,8,8,8,8,4,4,8,8,8,8,5,5,5,5,5,12,12,12,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
KIDS,OrthoPediatrics Corp,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,2,21,2,2,21,21,2,2,21,21,21,21,21,21,21,21,21
